style,title,title_href,autor,autor_href
玄幻魔法,离职后我被前老板缠住了,https://www.xinshuw.com/novel_133627/,严厉寒宋襄,/author/%D1%CF%C0%F7%BA%AE%CB%CE%CF%E5
玄幻魔法,主角光环不存在的,https://www.xinshuw.com/novel_108051/,羽落惊鸿,/author/%D3%F0%C2%E4%BE%AA%BA%E8
玄幻魔法,"我有一剑,独断万古",https://www.xinshuw.com/novel_126344/,梦中小君君,/author/%C3%CE%D6%D0%D0%A1%BE%FD%BE%FD
玄幻魔法,相府嫡女重生后杀疯了,https://www.xinshuw.com/novel_125266/,紫月忧蓝,/author/%D7%CF%D4%C2%D3%C7%C0%B6
玄幻魔法,混在漫威的霍格沃兹教授,https://www.xinshuw.com/novel_73918/,荒芜星辰,/author/%BB%C4%CE%DF%D0%C7%B3%BD
玄幻魔法,穿越之享受似锦年华,https://www.xinshuw.com/novel_128341/,被窝赏月,/author/%B1%BB%CE%D1%C9%CD%D4%C2
玄幻魔法,楼兰城,https://www.xinshuw.com/novel_128503/,笨笨中原,/author/%B1%BF%B1%BF%D6%D0%D4%AD
玄幻魔法,剑镇八荒,https://www.xinshuw.com/novel_127491/,登州小旗官,/author/%B5%C7%D6%DD%D0%A1%C6%EC%B9%D9
玄幻魔法,混沌的摩潘德斯,https://www.xinshuw.com/novel_76498/,尘河望,/author/%B3%BE%BA%D3%CD%FB
玄幻魔法,玄幻：我能无限成长,https://www.xinshuw.com/novel_130284/,磊子嘎嘎嘎,/author/%C0%DA%D7%D3%B8%C2%B8%C2%B8%C2
玄幻魔法,不朽凡人,https://www.xinshuw.com/novel_129280/,小生水蓝色,/author/%D0%A1%C9%FA%CB%AE%C0%B6%C9%AB
玄幻魔法,万物模拟：开局铜皮铁骨,https://www.xinshuw.com/novel_125160/,佛不度,/author/%B7%F0%B2%BB%B6%C8
仙侠修真,"刚成仙神,子孙求我登基",https://www.xinshuw.com/novel_111777/,任我笑,/author/%C8%CE%CE%D2%D0%A6
仙侠修真,西门仙族,https://www.xinshuw.com/novel_86654/,道心长青,/author/%B5%C0%D0%C4%B3%A4%C7%E0
仙侠修真,姜莲珠和三个崽崽,https://www.xinshuw.com/novel_126995/,结局免费阅读,/author/%BD%E1%BE%D6%C3%E2%B7%D1%D4%C4%B6%C1
仙侠修真,灵显真君,https://www.xinshuw.com/novel_71090/,一语破春风,/author/%D2%BB%D3%EF%C6%C6%B4%BA%B7%E7
仙侠修真,诸天证仙录,https://www.xinshuw.com/novel_53722/,复阳道人,/author/%B8%B4%D1%F4%B5%C0%C8%CB
仙侠修真,武夫,https://www.xinshuw.com/novel_66958/,平生未知寒,/author/%C6%BD%C9%FA%CE%B4%D6%AA%BA%AE
仙侠修真,"聊天群,从饲养孙悟空开始",https://www.xinshuw.com/novel_132605/,似水清无涯,/author/%CB%C6%CB%AE%C7%E5%CE%DE%D1%C4
仙侠修真,杀生道果,https://www.xinshuw.com/novel_69783/,北海牧鲸,/author/%B1%B1%BA%A3%C4%C1%BE%A8
仙侠修真,夫人让我三更死,https://www.xinshuw.com/novel_102601/,极品豆芽,/author/%BC%AB%C6%B7%B6%B9%D1%BF
仙侠修真,武侠：开局奖励满级神功,https://www.xinshuw.com/novel_73603/,落魄的小纯洁,/author/%C2%E4%C6%C7%B5%C4%D0%A1%B4%BF%BD%E0
仙侠修真,我有一个修仙世界,https://www.xinshuw.com/novel_67204/,纯九莲宝灯,/author/%B4%BF%BE%C5%C1%AB%B1%A6%B5%C6
仙侠修真,仙道之帝,https://www.xinshuw.com/novel_82599/,SSD,/author/SSD
都市言情,冤种天后和她的老六助理,https://www.xinshuw.com/novel_84657/,第一靓仔,/author/%B5%DA%D2%BB%F6%A6%D7%D0
都市言情,我的女友是idol,https://www.xinshuw.com/novel_44805/,今年第七年,/author/%BD%F1%C4%EA%B5%DA%C6%DF%C4%EA
都市言情,"睁开眼,回到妻离子散前一天",https://www.xinshuw.com/novel_123934/,顾长念,/author/%B9%CB%B3%A4%C4%EE
都市言情,"逃婚当天,我拉着豪门继承人领证了",https://www.xinshuw.com/novel_126400/,退堂鼓,/author/%CD%CB%CC%C3%B9%C4
